Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:40 AM,7.666666666666667,20,,,,,,,
9:45 AM,29.4,45,,,,,,,
9:50 AM,45.4,29,,,,,,,
9:55 AM,65.8,37,,,,,,,
10:00 AM,105,40,,,,,,,
10:05 AM,124.2,17,,,,,,,
10:10 AM,137.4,13,,1,1,,,,
10:15 AM,146,13,,,,,,,
10:20 AM,151,8,,,,,,,
10:25 AM,151.6,7,,,,,,,
10:30 AM,145.4,5,,,,,,1,
10:35 AM,141.4,7,,,,,,,
10:40 AM,145.2,6,1,,,,,,
10:45 AM,147.4,16,,1,1,,,,
10:50 AM,152.4,9,,1,1,,,,
10:55 AM,151.4,4,,,,,,1,
11:00 AM,151.4,3,,,,,,,
11:05 AM,148.4,2,,,,,,,
11:10 AM,144.2,5,,,,,,,
11:15 AM,146.8,12,,,,,,,
11:20 AM,149.2,4,,,,,,,
11:25 AM,147.6,3,,,,,,,
11:30 AM,147.2,4,,,,,,,
11:35 AM,146.8,5,,,,,,,
11:40 AM,147.2,5,,,,,,,
11:45 AM,145.8,6,,,,,,,
11:50 AM,140.2,9,,,,,,,
11:55 AM,142.8,5,,,,,,,
12:00 PM,145.2,8,,,,,,,
12:05 PM,145.2,3,,,,,,,
12:10 PM,147.6,5,,,,,,,
12:15 PM,148,8,,,,,,,
12:20 PM,144,6,,,,,,,
12:25 PM,140.6,3,,1,1,,,,
12:30 PM,142.4,11,,3,3,,,,
12:35 PM,136.6,7,,,,,,,
12:40 PM,142,10,1,,,,,,
12:45 PM,142.6,7,,,,,,,
12:50 PM,140.6,1,,,,,,,
12:55 PM,140.6,3,,,,,,,
1:00 PM,141,3,,,,,,,
1:05 PM,139.6,1,,,,,,,
1:10 PM,139.2,4,1,,,,,,
1:15 PM,131.6,,,,,,,,
1:20 PM,129.2,1,,,,,,,
1:25 PM,129.2,4,,,,,,,
1:30 PM,124.4,3,,,,,,,
1:35 PM,69,4,,,,,,,
1:40 PM,43,1,,,,,,,
