Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:40 AM,14.4,15,,,,,,,
9:45 AM,24.8,16,,,,,,,
9:50 AM,41.6,31,,1,1,,,,
9:55 AM,60.6,23,,1,1,,,,
10:00 AM,78,17,,1,1,,,,
10:05 AM,88,14,,1,1,,,,
10:10 AM,93.6,12,,,,,,,
10:15 AM,98.2,9,,,,,,,
10:20 AM,97,7,,,,,,,
10:25 AM,100.2,4,,,,,,,
10:30 AM,100.6,4,,,,,,,
10:35 AM,100.8,3,1,,,,,,
10:40 AM,100,3,,,,,,,
10:45 AM,100.4,2,,1,1,,,,
10:50 AM,99.8,2,,,,,,,
10:55 AM,101.2,1,,,,,,,
11:00 AM,100.8,3,,,,,,,
11:05 AM,95.8,3,,,,,,,
11:10 AM,95.2,,,,,,,,
11:15 AM,96.6,1,,,,,,,
11:20 AM,94.8,3,,,,,,,
11:25 AM,93.6,1,,,,,,,
11:30 AM,95.2,2,,,,,,,
11:35 AM,95,,,,,,,,
11:40 AM,94.8,1,,,,,,,
11:45 AM,94.6,1,,,,,,,
11:50 AM,92,,,1,1,,,,
11:55 AM,91.8,4,,,,,,,
12:00 PM,91.4,3,,1,2,,,,
12:05 PM,92.2,2,,,,,,,
12:10 PM,94.2,,,,,,,,
12:15 PM,93.2,,,,,,,,
12:20 PM,92.6,3,,,,,,,
12:25 PM,96,6,,,,,,,
12:30 PM,98.4,3,,,,,,,
12:35 PM,99.2,4,,,,,,,
12:40 PM,97.6,1,,,,,,,
12:45 PM,97.8,3,,,,,,,
12:50 PM,96.6,3,,,,,,,
12:55 PM,96.2,2,,,,,,,
1:00 PM,93.2,1,,,,,,,
1:05 PM,90.4,2,,,,,,,
1:10 PM,88.2,,,,,,,,
1:15 PM,86.4,1,,,,,,,
1:20 PM,88.4,2,,,,,,,
1:25 PM,89.4,2,,1,1,,,,
1:30 PM,87.8,,,,,,,,
1:35 PM,79.8,2,,,,,,,
1:40 PM,41.6,3,,,,,,,
