Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:40 AM,20,21,,,,,,,
9:45 AM,35.6,17,,,,,,,
9:50 AM,60.6,29,,,,,,,
9:55 AM,81.2,33,1,1,2,,,,
10:00 AM,107.6,33,,2,3,,,,
10:05 AM,123.2,10,,,,,,,
10:10 AM,127.8,5,,1,2,,,,
10:15 AM,126.8,3,,,,,,,
10:20 AM,131.4,7,1,,,,,1,
10:25 AM,134.4,6,,,,,,,
10:30 AM,137.4,11,,,,,,,
10:35 AM,140.8,4,,,,,,,
10:40 AM,141.2,10,,,,,,,
10:45 AM,141.2,5,,,,,,,
10:50 AM,139.6,8,,1,1,,,,
10:55 AM,141.4,9,,2,5,,,,
11:00 AM,134.2,2,,2,3,,,,
11:05 AM,132.8,2,,,,,,,
11:10 AM,133.8,2,,,,,,,
11:15 AM,135.4,5,,,,,,,
11:20 AM,136.6,3,,,,,,,
11:25 AM,137.8,5,,,,,,,
11:30 AM,141,4,,,,,,,
11:35 AM,139,2,,,,,,,
11:40 AM,139,2,,,,,,,
11:45 AM,139.6,2,,,,,,,
11:50 AM,139.8,3,,,,,,,
11:55 AM,136.6,,,,,,,,
12:00 PM,136.6,2,,,,,,,
12:05 PM,136.6,5,,,,,,,
12:10 PM,130.6,1,1,,,,,,
12:15 PM,129.6,5,,,,,,,
12:20 PM,131,3,,,,,,,
12:25 PM,129.8,1,,,,,,,
12:30 PM,127.8,2,,,,,,,
12:35 PM,128.2,3,,,,,,,
12:40 PM,127.6,2,,,,,,,
12:45 PM,128,2,,,,,,,
12:50 PM,125,5,,,,,,,
12:55 PM,124.4,4,,,,,,,
1:00 PM,121,7,,,,,,,
1:05 PM,119.6,4,1,,,,,,
1:10 PM,120,5,,,,,,,
1:15 PM,118.4,2,,,,,,,
1:20 PM,116.8,3,,,,,,,
1:25 PM,110.6,5,,,,,,,
1:30 PM,84.2,1,,,,,,,
1:35 PM,54,,,,,,,,
