Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:40 AM,16.5,8,,,,,,,
9:45 AM,25.4,21,,,,,,,
9:50 AM,52.2,34,1,2,4,,,,
9:55 AM,74.6,31,,,,,,,
10:00 AM,106.4,36,,1,1,,,,
10:05 AM,126,18,,,,,,,
10:10 AM,134.2,11,,,,,,1,
10:15 AM,140.4,9,,,,,,,
10:20 AM,144.4,8,,,,,,,
10:25 AM,143.8,6,,,,,,,
10:30 AM,143.6,8,,,,,,,
10:35 AM,140,9,,,,,,,
10:40 AM,139,1,,,,,,,
10:45 AM,138,4,,,,,,,
10:50 AM,141.2,5,,,,,,,
10:55 AM,140.6,1,,,,,,,
11:00 AM,138.8,4,,,,,,,
11:05 AM,134.4,1,,,,,,,
11:10 AM,134.8,2,,,,,,,
11:15 AM,138.6,10,,,,,,,
11:20 AM,140.2,6,,2,8,,,,
11:25 AM,137.6,2,,,,,,,
11:30 AM,135.4,4,,,,,,,
11:35 AM,138,2,,2,2,,,,
11:40 AM,137.6,3,,3,6,,,,
11:45 AM,137.6,2,,,,,,,
11:50 AM,138.2,3,,,,,,,
11:55 AM,135.2,1,,,,,,,
12:00 PM,131.2,3,,,,,,,
12:05 PM,129.2,3,,,,,,,
12:10 PM,130.2,5,,,,,,,
12:15 PM,134,3,,,,,,,
12:20 PM,132.4,1,,,,,,,
12:25 PM,131.8,3,,,,,,,
12:30 PM,132.4,5,,,,,,,
12:35 PM,131.8,3,,,,,,,
12:40 PM,131,3,,,,,,,
12:45 PM,129.8,3,,,,,,,
12:50 PM,129.8,6,,,,,,,
12:55 PM,128,6,1,1,1,,,,
1:00 PM,130,2,,,,,,,
1:05 PM,130,3,,,,,,,
1:10 PM,129.4,6,,,,,,,
1:15 PM,127.8,1,,,,,,,
1:20 PM,130.8,5,1,,,,,,
1:25 PM,125.6,2,,,,,,,
1:30 PM,118.6,4,,,,,,,
1:35 PM,75.2,4,,1,3,,,,
1:40 PM,47,1,,,,,,,
