Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:35 AM,10.333333333333334,2,,,,,,,
9:40 AM,19.8,7,,,,,,,
9:45 AM,26.8,17,,,,,,,
9:50 AM,48.4,36,,1,1,,,1,
9:55 AM,61.4,28,,3,6,,,,
10:00 AM,80.2,9,,,,,,,
10:05 AM,83.6,13,,,,,,,
10:10 AM,90.2,7,,,,,,,
10:15 AM,92,3,,,,,,,
10:20 AM,97.8,10,,,,,,,
10:25 AM,100,5,,,,,,,
10:30 AM,99.6,5,1,,,,,,
10:35 AM,101.6,5,,,,,,,
10:40 AM,102.6,2,,,,,,,
10:45 AM,101.8,2,,,,,,,
10:50 AM,102.6,3,,,,,,,
10:55 AM,101.2,3,,,,,,,
11:00 AM,103.8,3,,,,,,,
11:05 AM,102,2,,,,,,,
11:10 AM,99.4,6,,,,,,,
11:15 AM,98,,,,,,,,
11:20 AM,96.4,3,,,,,,,
11:25 AM,97.2,2,,,,,,,
11:30 AM,97.4,2,,,,,,,
11:35 AM,97.6,1,,,,,,,
11:40 AM,97,,,,,,,,
11:45 AM,97.8,4,,,,,,,
11:50 AM,100.6,1,1,,,,,,
11:55 AM,100,,,,,,,,
12:00 PM,98.2,2,,,,,,,
12:05 PM,99.8,5,1,,,,,,
12:10 PM,100,5,,,,,,,
12:15 PM,101.8,5,,,,,,,
12:20 PM,102.6,5,,1,1,,,,
12:25 PM,103.6,,,,,,,,
12:30 PM,102,7,,1,1,,,,
12:35 PM,100.4,6,,,,,,,
12:40 PM,99.4,2,,,,,,,
12:45 PM,99.2,2,,,,,,,
12:50 PM,99.6,1,,,,,,,
12:55 PM,99.8,6,,,,,,,
1:00 PM,98.2,6,,,,,,,
1:05 PM,94.6,1,,,,,,,
1:10 PM,91.6,3,,,,,,,
1:15 PM,90.6,1,,1,2,,,,
1:20 PM,91.4,3,,,,,,,
1:25 PM,90,2,,,,,,,
1:30 PM,88,1,,,,,,,
1:35 PM,54.6,4,,,,,,,
1:40 PM,40,,,,,,,,
