Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:40 AM,10,3,,,,,,,
9:45 AM,17.2,14,1,,,,,,
9:50 AM,28.2,15,,,,,,1,
9:55 AM,45.8,21,,,,,,,
10:00 AM,66.4,23,,,,,,,
10:05 AM,75.6,9,,,,,,,
10:10 AM,82,9,,,,,,,
10:15 AM,87.4,10,,1,1,,,,
10:20 AM,89.8,7,,1,1,,,,
10:25 AM,89.6,6,,,,,,,
10:30 AM,91.8,8,,1,1,,,,
10:35 AM,90.6,5,,,,,,,
10:40 AM,93,6,,1,1,,,,
10:45 AM,97,13,,,,,,,
10:50 AM,97.8,6,,,,,,,
10:55 AM,92.2,3,,,,,,,
11:00 AM,92.6,5,,,,,,,
11:05 AM,94.2,2,,,,,,,
11:10 AM,93.6,3,,,,,,,
11:15 AM,94.6,1,,,,,,,
11:20 AM,95.4,,,,,,,,
11:25 AM,93.2,,,,,,,,
11:30 AM,91.8,2,,,,,,,
11:35 AM,91.4,2,,,,,,,
11:40 AM,91,1,,,,,,,
11:45 AM,89.8,1,,,,,,,
11:50 AM,88.4,,,,,,,,
11:55 AM,84.8,1,,,,,,,
12:00 PM,85,2,,,,,,,
12:05 PM,87.4,1,,,,,,,
12:10 PM,87,1,,,,,,,
12:15 PM,86.8,3,,,,,,,
12:20 PM,87.2,2,,,,,,,
12:25 PM,88.2,4,,,,,,,
12:30 PM,87.8,4,,,,,,,
12:35 PM,85.6,4,1,,,,,,
12:40 PM,84.2,2,,,,,,,
12:45 PM,82.4,1,,,,,,,
12:50 PM,82.8,1,,2,4,,,,
12:55 PM,83.2,,,1,1,,,,
1:00 PM,84.6,6,,,,,,,
1:05 PM,85.2,5,,,,,,,
1:10 PM,84.6,3,,,,,,,
1:15 PM,82.2,5,,,,,,,
1:20 PM,80.4,,,,,,,,
1:25 PM,78,1,,,,,,,
1:30 PM,70.6,2,,2,2,,,,
1:35 PM,54.8,1,,1,1,,,,
1:40 PM,32.4,1,,,,,,,
1:45 PM,26,1,,,,,,,
