Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:40 AM,17.5,4,,,,,,,
9:45 AM,21.2,23,,,,,,,
9:50 AM,50.4,39,1,,,,,,
9:55 AM,82.2,42,,,,,,1,
10:00 AM,115.6,36,,,,,,,
10:05 AM,138.6,27,,,,,,1,
10:10 AM,146.8,6,,,,,,,
10:15 AM,149.8,14,,,,,,,
10:20 AM,155.6,9,,,,,,,
10:25 AM,154.8,5,,,,,,,
10:30 AM,155,7,1,,,,,,
10:35 AM,158.4,8,,,,,,1,
10:40 AM,157.2,7,,,,,,,
10:45 AM,157.6,7,1,,,,,,
10:50 AM,157.8,7,,,,,,,
10:55 AM,150.2,3,,,,,,,
11:00 AM,148.6,6,,,,,,,
11:05 AM,154.2,12,,,,,,,
11:10 AM,156.2,10,,,,,,,
11:15 AM,157.8,9,,,,,,,
11:20 AM,159.4,7,,,,,,1,
11:25 AM,162.2,6,,,,,,,
11:30 AM,158.8,1,,,,,,,
11:35 AM,160.6,5,,,,,,,
11:40 AM,160.4,5,,,,,,,
11:45 AM,160,7,,,,,,,
11:50 AM,158.8,2,,,,,,,
11:55 AM,159,4,,,,,,,
12:00 PM,159.6,4,,,,,,,
12:05 PM,162,3,,,,,,,
12:10 PM,161.4,2,,,,,,,
12:15 PM,161.8,8,,,,,,,
12:20 PM,160,3,,,,,,,
12:25 PM,159,4,,,,,,,
12:30 PM,157.6,7,,,,,,,
12:35 PM,158,5,,,,,,,
12:40 PM,162.2,7,,,,,,,
12:45 PM,159,2,,,,,,,
12:50 PM,157.2,,,,,,,,
12:55 PM,157,6,,,,,,,
1:00 PM,155.8,2,,,,,,,
1:05 PM,154,5,,,,,,,
1:10 PM,146,,,,,,,,
1:15 PM,141.6,3,,,,,,,
1:20 PM,138.6,5,1,,,,,,
1:25 PM,134,2,,,,,,1,
1:30 PM,123.2,3,,,,,,,
1:35 PM,80.75,2,,,,,,,
